folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Clinical Data/Incident Outcomes,hypertension_sueno,Hypertension at the Sueno visit as derived from the SOL diagnosis and Sueno hypertension variables,Hypertension is defined here if the systolic or diastolic blood pressure is greater than or equal to 140/90 or if the participant is currently taking antihypertensive medications.,choices,,noyes01,,,,
Medical History,hypertension2,Hypertension using NHANES definition,Hypertension is defined here using the following NHANES definition: if the systolic or diastolic blood pressure is greater than or equal to 140/90 or if the participant self-reported as currently taking antihypertensive medications.,choices,,noyes01,,,,
Demographics/Acculturation,imgen_c2,Immigrant generation (2 categories),"This variable determines the participants immigrant generation status based on a combination of the country of origin of the participant, maternal and paternal parents, and/or the maternal and paternal grandparents.",choices,,generation2,,,,
Demographics/Acculturation,imgen_c4,Immigrant generation (4 categories),"This variable determines the participant's immigrant generation status based on a combination of the country of origin of the participant, maternal and paternal parents, and/or the maternal and paternal grandparents.",choices,,generation,,,,
Demographics/Employment,income,Yearly Household Income (ECEA3 and ECEA4),,choices,,income,,,,
Demographics/Employment,income_c3,3-level grouped yearly household income,,choices,,income2,,,,
Demographics/Employment,income_c5,Yearly Household Income (collapsed categories),,choices,,income3,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate1,Hispanic Stress Inventory individual score - ATE item 1,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate10,Hispanic Stress Inventory individual score - ATE item 10,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate11,Hispanic Stress Inventory individual score - ATE item 11,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate12,Hispanic Stress Inventory individual score - ATE item 12,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate13,Hispanic Stress Inventory individual score - ATE item 13,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate14,Hispanic Stress Inventory individual score - ATE item 14,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate15,Hispanic Stress Inventory individual score - ATE item 15,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate16,Hispanic Stress Inventory individual score - ATE item 16,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate17,Hispanic Stress Inventory individual score - ATE item 17,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate2,Hispanic Stress Inventory individual score - ATE item 2,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate3,Hispanic Stress Inventory individual score - ATE item 3,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate4,Hispanic Stress Inventory individual score - ATE item 4,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate5,Hispanic Stress Inventory individual score - ATE item 5,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate6,Hispanic Stress Inventory individual score - ATE item 6,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate7,Hispanic Stress Inventory individual score - ATE item 7,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate8,Hispanic Stress Inventory individual score - ATE item 8,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),ind_sueno_ate9,Hispanic Stress Inventory individual score - ATE item 9,,numeric,,,,,,
Clinical Data/Laboratory Tests,insulin_fast,"Insulin, fasting (calibrated, converted to mU/L)","This variable combines fasting glucose results from the central lab that was processed prior to July 5, 2010 (using units of mU/L) with results processed on or after July 5, 2010 (using units of pmol/L) and the overall units are converted to mU/L (1 mU/L = 6 pmol/L).",numeric,,,,,,
Clinical Data/Laboratory Tests,insulin_ogtt,"Insulin, post OGTT (calibrated, converted to mU/L)","This variable combines post OGTT glucose results from the central lab that were processed prior to July 5, 2010 (using units of mU/L) with results processed on or after July 5, 2010 (using units of pmol/L) and the overall units are converted to mU/L (1 mU/L = 6 pmol/L).",numeric,,,,,,
Sleep Questionnaires/Sleep Disturbance,isi,Insomnia Severity Index,"This is a numeric variable with values ranging from 0-28 based on the Sleep Questionnaire II form. Missing if did not answer any of following: SQEA6, SQEA7, SQEA8, SQEA9. If SQEA10 answered “Yes 1,” but any of following missing: SQEA11, SQEA12, SQEA13, then missing. Missing if did not answer SQEA10 and SQEA11-SQEA13.",integer,,,,,,
Sleep Questionnaires/Sleep Disturbance,isi_c4,4-level grouped Insomnia Severity Index,,choices,,isi_c4,,,,
Demographics/Acculturation,lang_pref,Language preference,This variable determines which language was preferred to be used for the baseline examination.,choices,,language,,,,
Demographics/Acculturation,language_subscore_mesa,Language Subscore - MESA,This is a language subscore of the acculturation score similar to the one used in MESA.,numeric,,,,,,
Clinical Data/Vital Signs/Seated Blood Pressure,left_abi,Left Ankle Branchial Index (occ. failure incl.),Ankle Brachial Index (ABI) is the average ankle to arm systolic pressures as measured from the left and right sides. The higher of the two ankle measures on the same side is divided by the higher of the two systolic arm pressures to derive the right and left side ABI values.,numeric,,,,,,
Clinical Data/Vital Signs/Seated Blood Pressure,left_abigrp_c4,Left 4-level grouped Ankle Brachial Index (occ. failure incl.),This variable groups left and right ABI into 4 categories.,choices,,abi,,,,
Administrative/Study Design,list_cnt,Sample List-level Hispanic Household Frame Counts,This variable is the sample design list household frame count variable used in statistical analyses.,numeric,,,,,,
Administrative/Study Design,listnum,List Address Record Assigned,This variable is the sample design variable used in statistical analyses.,choices,,hispanic_address,,,,
Demographics,marital_status,Marital Status (collapsed categories),This derived variable groups each subject's marital status.,choices,,marital_status,,,,
Medical History/Medications,med_antianginal,Antianginals,,choices,,noyes01,,,,
Medical History/Medications,med_antianginal_sueno,Antianginals,,choices,,noyes01,,,,
Medical History/Medications,med_antianxi,Antianxiety agents,,choices,,noyes01,,,,
Medical History/Medications,med_antianxi_sueno,Antianxiety agents,,choices,,noyes01,,,,
Medical History/Medications,med_antiarrhythmics,AntiArrhythmics,,choices,,noyes01,,,,
Medical History/Medications,med_antiarrhythmics_sueno,AntiArrhythmics,,choices,,noyes01,,,,
Medical History/Medications,med_antiasthmatics,Antiasthmatic or bronchodilator agents,,choices,,noyes01,,,,
Medical History/Medications,med_antiasthmatics_sueno,Antiasthmatic or bronchodilator agents,,choices,,noyes01,,,,
Medical History/Medications,med_anticoag,Anticoagulants,,choices,,noyes01,,,,
Medical History/Medications,med_anticoag_coumarin,Coumarin anticoagulants,,choices,,noyes01,,,,
Medical History/Medications,med_anticoag_coumarin_sueno,Coumarin anticoagulants,,choices,,noyes01,,,,
Medical History/Medications,med_anticoag_heparin,Heparin anticoagulants,,choices,,noyes01,,,,
Medical History/Medications,med_anticoag_heparin_sueno,Heparin anticoagulants,,choices,,noyes01,,,,
Medical History/Medications,med_anticoag_sueno,Anticoagulants,,choices,,noyes01,,,,
Medical History/Medications,med_antidepre_ssri,Antidepressants - selective serotonin re-uptake inhibitors,,choices,,noyes01,,,,
Medical History/Medications,med_antidepre_ssri_sueno,Antidepressants - selective serotonin re-uptake inhibitors,,choices,,noyes01,,,,
Medical History/Medications,med_antidepre_tricyc,Antidepressants tricyclic antidepressants,,choices,,noyes01,,,,
Medical History/Medications,med_antidepre_tricyc_sueno,Antidepressants tricyclic antidepressants,,choices,,noyes01,,,,
Medical History/Medications,med_antidepress,Antidepressants,,choices,,noyes01,,,,
Medical History/Medications,med_antidepress_sueno,Antidepressants,,choices,,noyes01,,,,
Medical History/Medications,med_antidiab,Antidiabetics,,choices,,noyes01,,,,
Medical History/Medications,med_antidiab_sueno,Antidiabetics,,choices,,noyes01,,,,
Medical History/Medications,med_antihypert,Antihypertensives,,choices,,noyes01,,,,
Medical History/Medications,med_antihypert_acei,ACE Inhibitors,,choices,,noyes01,,,,
Medical History/Medications,med_antihypert_acei_sueno,ACE Inhibitors,,choices,,noyes01,,,,
Medical History/Medications,med_antihypert_at2ras,Angiotensin II Receptor Antaognists,,choices,,noyes01,,,,
Medical History/Medications,med_antihypert_at2ras_sueno,Angiotensin II Receptor Antagonists,,choices,,noyes01,,,,
Medical History/Medications,med_antihypert_sueno,Antihypertensives,,choices,,noyes01,,,,
Medical History/Medications,med_antiplatelet,Antiplatelets,,choices,,noyes01,,,,
Medical History/Medications,med_antiplatelet_sueno,Antiplatelets,,choices,,noyes01,,,,
Medical History/Medications,med_antipsycho,Antipsychotics,,choices,,noyes01,,,,
Medical History/Medications,med_antipsycho_sueno,Antipsychotics,,choices,,noyes01,,,,
Medical History/Medications,med_aspirin,Aspirin-containing analgesics,,choices,,noyes01,,,,
Medical History/Medications,med_aspirin_sueno,Aspirin-containing analgesics,,choices,,noyes01,,,,
Medical History/Medications,med_bb,Beta Blockers,,choices,,noyes01,,,,
Medical History/Medications,med_bb_ophthalmic,Ophthalmic Beta Blockers,,choices,,noyes01,,,,
Medical History/Medications,med_bb_ophthalmic_sueno,Ophthalmic Beta Blockers,,choices,,noyes01,,,,
Medical History/Medications,med_bb_sueno,Beta Blockers,,choices,,noyes01,,,,
Medical History/Medications,med_bronchodilator_sueno,Bronchodilator and Antiasthmatic Agents Medication use,,choices,,noyes01,,,,
Medical History/Medications,med_cacb,Calcium Channel Blockers,,choices,,noyes01,,,,
Medical History/Medications,med_cacb_sueno,Calcium Channel Blockers,,choices,,noyes01,,,,
Medical History/Medications,med_cardiacglycosides,Cardiac Glycosides,,choices,,noyes01,,,,
Medical History/Medications,med_cardiacglycosides_sueno,Cardiac Glycosides,,choices,,noyes01,,,,
Medical History/Medications,med_chemo,Chemotherapy,,choices,,noyes01,,,,
Medical History/Medications,med_chemo_sueno,Chemotherapy,,choices,,noyes01,,,,
Medical History/Medications,med_clopid,Clopidogrel (Plavix),,choices,,noyes01,,,,
Medical History/Medications,med_clopid_sueno,Clopidogrel (Plavix),,choices,,noyes01,,,,
Medical History/Medications,med_contraceptives,Contraceptives,,choices,,noyes01,,,,
