,folder,id,display_name,display_name.new,description,description.new,type,units,domain,labels,calculation,commonly_used,folder.new,nsrr_label
664,Clinical Data/Laboratory Tests,gfrscys,eGFR based on serum cystatin C w/o demographics,eGFR based on serum cystatin C w/o demographics,"This variable estimates Glomerular filtration rate, based on serum cystatin C and no demographic factors.","This variable estimates Glomerular filtration rate, based on serum cystatin C and no demographic factors.",numeric,,,,NA,NA,NA,NA
665,Clinical Data/Laboratory Tests,gfrscys_scr,"eGFR based on serum cystatin C, serum creatinine, gender, age, and race","eGFR based on serum cystatin C, serum creatinine, gender, age, and race","This variable estimates Glomerular filtration rate, based on serum cystatin C, serum creatinine, and demographics gender, age and race (black vs. nonblack).","This variable estimates Glomerular filtration rate, based on serum cystatin C, serum creatinine, and demographics gender, age and race (black vs. nonblack).",numeric,,,,NA,NA,NA,NA
549,Clinical Data/Laboratory Tests,hba1c_si,"Glycosylated Hemoglobin (HbA1c) in SI units (mmol/mol), nearest integer","Glycosylated Hemoglobin (HbA1c) in SI units (mmol/mol), nearest integer",,,integer,mmol per mol,,,NA,NA,NA,NA
666,Clinical Data/Laboratory Tests,high_total_chol,"Hypercholesterolemia (from LABA66,LABA68,LABA69,MED_LLD)","Hypercholesterolemia (from LABA66,LABA68,LABA69,MED_LLD)","This variable checks for Total cholesterol, HDL, LDL, and antihyperlipidemic medication use values to determine presence/absence of hypercholesterolemia.","This variable checks for Total cholesterol, HDL, LDL, and antihyperlipidemic medication use values to determine presence/absence of hypercholesterolemia.",choices,,noyes01,,NA,NA,NA,NA
550,Clinical Data/Laboratory Tests,homa_b,HOMA index of Beta Cell Function,HOMA index of Beta Cell Function,This variable defines the Homeostasis model assessment of insulin resistance.,This variable defines the Homeostasis model assessment of insulin resistance.,numeric,,,,NA,NA,NA,NA
551,Clinical Data/Laboratory Tests,homa_ir,HOMA index of Insulin Resistance,HOMA index of Insulin Resistance,This variable defines the Homeostasis model assessment of insulin resistance.,This variable defines the Homeostasis model assessment of insulin resistance.,numeric,,,,NA,NA,NA,NA
667,Clinical Data/Laboratory Tests,insulin_fast,"Insulin, fasting (calibrated, converted to mU/L)","Insulin, fasting (calibrated, converted to mU/L)","This variable combines fasting glucose results from the central lab that was processed prior to July 5, 2010 (using units of mU/L) with results processed on or after July 5, 2010 (using units of pmol/L) and the overall units are converted to mU/L (1 mU/L = 6 pmol/L).","This variable combines fasting glucose results from the central lab that was processed prior to July 5, 2010 (using units of mU/L) with results processed on or after July 5, 2010 (using units of pmol/L) and the overall units are converted to mU/L (1 mU/L = 6 pmol/L).",numeric,,,,NA,NA,NA,NA
668,Clinical Data/Laboratory Tests,insulin_ogtt,"Insulin, post OGTT (calibrated, converted to mU/L)","Insulin, post OGTT (calibrated, converted to mU/L)","This variable combines post OGTT glucose results from the central lab that were processed prior to July 5, 2010 (using units of mU/L) with results processed on or after July 5, 2010 (using units of pmol/L) and the overall units are converted to mU/L (1 mU/L = 6 pmol/L).","This variable combines post OGTT glucose results from the central lab that were processed prior to July 5, 2010 (using units of mU/L) with results processed on or after July 5, 2010 (using units of pmol/L) and the overall units are converted to mU/L (1 mU/L = 6 pmol/L).",numeric,,,,NA,NA,NA,NA
524,Clinical Data/Vascular Measures,claudication_int,Intermittent Claudication - either leg,Intermittent Claudication - either leg,This variable defines intermittent claudication being present in either leg,This variable defines intermittent claudication being present in either leg,choices,,noyesdk,,NA,NA,NA,NA
548,Clinical Data/Vascular Measures,frame_cvd_risk_10yr,Framingham CVD - 10 year risk (w/lab predictors),Framingham CVD - 10 year risk (w/lab predictors),This variable defines the Framingham CVD 10 year risk using lab predictors based on the Framingham Study criterion for participants. Individuals 30 to 74 years old only.,This variable defines the Framingham CVD 10 year risk using lab predictors based on the Framingham Study criterion for participants. Individuals 30 to 74 years old only.,numeric,,,,NA,NA,NA,NA
1023,Demographics,age,Age,Age,This is the age of the participant in years at the time of the participant's clinic visit.,This is the age of the participant in years at the time of the participant's clinic visit.,numeric,years,,,NA,TRUE,NA,NA
1024,Demographics,age_sueno,Age at Sueno clinic visit,Age at Sueno clinic visit,,,numeric,years,,,NA,NA,NA,NA
1025,Demographics,age_sueno_scrn,Age at Sueno screening,Age at Sueno screening,,,numeric,years,,,NA,NA,NA,NA
1026,Demographics,agegroup_c2,Age of the participant,Age of the participant,This variable is the grouped age of the participant.,This variable is the grouped age of the participant.,choices,,age_c2,,NA,NA,NA,NA
1027,Demographics,agegroup_c2_sueno,2-level Age Sub-groups at SUENO Visit,2-level Age Sub-groups at SUENO Visit,,,choices,,age_c2,,NA,NA,NA,NA
1028,Demographics,agegroup_c5_sueno,5-level Age Sub-groups at SUENO Visit,5-level Age Sub-groups at SUENO Visit,,,choices,,age_c5,,NA,NA,NA,NA
1029,Demographics,agegroup_c6,6-level Age Sub-groups,6-level Age Sub-groups,This variable is the grouped age of the participant.,This variable is the grouped age of the participant.,choices,,age_c6,,NA,NA,NA,NA
1030,Demographics,agegroup_c6_nhanes,6-Level Age Groups (NHANES standardization),6-Level Age Groups (NHANES standardization),This variable is the grouped age of the participant. It is determined from the derived variable age for use with analyses requiring NHANES age standardization.,This variable is the grouped age of the participant. It is determined from the derived variable age for use with analyses requiring NHANES age standardization.,choices,,age_c6_nhanes,,NA,NA,NA,NA
1036,Demographics,gender,"Gender (F=Female, M=Male)","Gender (F=Female, M=Male)",This variable describes the participant's gender.,This variable describes the participant's gender.,choices,,gender,,NA,NA,NA,NA
1037,Demographics,gendernum,Gender,Gender,This variable describes the participant's gender.,This variable describes the participant's gender.,choices,,gender2,,NA,TRUE,NA,NA
1041,Demographics,marital_status,Marital Status (collapsed categories),Marital Status (collapsed categories),This derived variable groups each subject's marital status.,This derived variable groups each subject's marital status.,choices,,marital_status,,NA,NA,NA,NA
459,Demographics/Acculturation,accult_mesa,Acculturation Score - MESA,Acculturation Score - MESA,"This is a summary acculturation score based on nativity, language spoken at home, and years of residence in the U.S. It is defined as the sum of nativity subscore and language subscore.","This is a summary acculturation score based on nativity, language spoken at home, and years of residence in the U.S. It is defined as the sum of nativity subscore and language subscore.",numeric,,,,NA,NA,NA,NA
460,Demographics/Acculturation,age_immi,Age of immigration among participants who were not born in US mainland (50 US States + DC),Age of immigration among participants who were not born in US mainland (50 US States + DC),"The age of immigration is defined as if participant was not born in the US 50 states, then the age of immigration is equal to the participant's age minus years lived in the US or if participant was born in the US 50 states, then the age of immigration is equal to missing.","The age of immigration is defined as if participant was not born in the US 50 states, then the age of immigration is equal to the participant's age minus years lived in the US or if participant was born in the US 50 states, then the age of immigration is equal to missing.",numeric,years,,,NA,NA,NA,NA
461,Demographics/Acculturation,bkgrd1,Background with Other reclassified,Background with Other reclassified,The self-identification with a Hispanic/Latino cultural group allowed for selection of an 'other' designation. This variable groups the test responses of 'other' for variations of 'Dominican' so that undercounts do not occur for that group.,The self-identification with a Hispanic/Latino cultural group allowed for selection of an 'other' designation. This variable groups the test responses of 'other' for variations of 'Dominican' so that undercounts do not occur for that group.,choices,,latino_background,,NA,NA,NA,NA
462,Demographics/Acculturation,bkgrd1_c6,Background with Other reclassified (collapsed categories),Background with Other reclassified (collapsed categories),Variable collapses 'Central' and 'South American' categories into one group and the 'Other' and 'More than one heritage' categories into one group.,Variable collapses 'Central' and 'South American' categories into one group and the 'Other' and 'More than one heritage' categories into one group.,choices,,latino_background2,,NA,NA,NA,NA
463,Demographics/Acculturation,bkgrd1_c7,7-level re-classification of Hispanic/Latino Background,7-level re-classification of Hispanic/Latino Background,Variable combined 'Other' and 'More than one heritage' categories into one group.,Variable combined 'Other' and 'More than one heritage' categories into one group.,choices,,latino_background3,,NA,NA,NA,NA
464,Demographics/Acculturation,ethis,Ethnic identity score,Ethnic identity score,Variable indicates the degree of ethnic identity.,Variable indicates the degree of ethnic identity.,numeric,,,,NA,NA,NA,NA
